
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
Sigma*+ b            :      0.225  /     -1.000  /      0.530  /      0.005  /      0.374  /          1  /         74  /        123  /          1  |        546  |          0  |        232
Sigma*+ b      Prim  :      0.225  /     -1.000  /      0.530  /      0.000  /      0.000  /          0  /          0  /        123  /          1  |        546  |          0  |        232
Sigma*+ b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma*- b            :      0.247  /     -1.000  /      0.515  /      0.236  /      0.000  /         42  /          0  /        136  /          1  |        551  |          0  |        264
Sigma*- b      Prim  :      0.247  /     -1.000  /      0.515  /      0.000  /      0.000  /          0  /          0  /        136  /          1  |        551  |          0  |        264
Sigma*- b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma*0              :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         11  |          0  |          0
Sigma*0        Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         11  |          0  |          0
Sigma*0        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma*0 b            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         16  |          0  |          0
Sigma*0 b      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         16  |          0  |          0
Sigma*0 b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambda*              :      0.595  /     -1.000  /      0.878  /      0.117  /      0.048  /         78  /         32  /        559  /          6  |        939  |          0  |        637
Lambda*        Prim  :      0.595  /     -1.000  /      0.878  /      0.000  /      0.000  /          0  /          0  /        559  /          6  |        939  |          0  |        637
Lambda*        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
