
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
pi+            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi+            Sec   :      0.482  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /      23024  /        195  |      47748  |          0  |      23136
pi-                  :      0.502  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /      30618  /        215  |      60963  |          0  |      30758
pi-            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi-            Sec   :      0.502  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /      30618  /        215  |      60963  |          0  |      30758
K+                   :      0.590  /     -1.000  /      0.997  /      0.000  /      0.000  /          0  /          0  /       7418  /        100  |      12581  |          0  |       7439
K+             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K+             Sec   :      0.590  /     -1.000  /      0.997  /      0.000  /      0.000  /          0  /          0  /       7418  /        100  |      12581  |          0  |       7439
K-                   :      0.581  /     -1.000  /      0.996  /      0.000  /      0.000  /          0  /          0  /       7243  /        108  |      12461  |          0  |       7273
K-             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K-             Sec   :      0.581  /     -1.000  /      0.996  /      0.000  /      0.000  /          0  /          0  /       7243  /        108  |      12461  |          0  |       7273
p+                   :      0.359  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /      14771  /         60  |      41135  |          0  |      14898
p+             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
p+             Sec   :      0.359  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /      14771  /         60  |      41135  |          0  |      14898
p-                   :      0.648  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /       9911  /         50  |      15300  |          0  |       9961
p-             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
p-             Sec   :      0.648  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /       9911  /         50  |      15300  |          0  |       9961
d+                   :      0.157  /     -1.000  /      0.992  /      0.000  /      0.000  /          0  /          0  /        722  /          4  |       4597  |          0  |        728
d+             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
d+             Sec   :      0.157  /     -1.000  /      0.992  /      0.000  /      0.000  /          0  /          0  /        722  /          4  |       4597  |          0  |        728
d-                   :      0.811  /     -1.000  /      0.993  /      0.000  /      0.000  /          0  /          0  /        706  /          4  |        870  |          0  |        711
d-             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
d-             Sec   :      0.811  /     -1.000  /      0.993  /      0.000  /      0.000  /          0  /          0  /        706  /          4  |        870  |          0  |        711
t+                   :      0.253  /     -1.000  /      0.987  /      0.000  /      0.000  /          0  /          0  /        602  /          1  |       2384  |          0  |        610
t+             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
t+             Sec   :      0.253  /     -1.000  /      0.987  /      0.000  /      0.000  /          0  /          0  /        602  /          1  |       2384  |          0  |        610
t-                   :      0.770  /     -1.000  /      0.994  /      0.000  /      0.000  /          0  /          0  /        618  /          6  |        803  |          0  |        622
t-             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
t-             Sec   :      0.770  /     -1.000  /      0.994  /      0.000  /      0.000  /          0  /          0  /        618  /          6  |        803  |          0  |        622
He3+                 :      0.627  /     -1.000  /      0.971  /      0.000  /      0.000  /          0  /          0  /       2656  /         24  |       4236  |          0  |       2736
He3+           Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He3+           Sec   :      0.627  /     -1.000  /      0.971  /      0.000  /      0.000  /          0  /          0  /       2656  /         24  |       4236  |          0  |       2736
He3-                 :      0.663  /     -1.000  /      0.980  /      0.000  /      0.000  /          0  /          0  /       1143  /          7  |       1724  |          0  |       1166
He3-           Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He3-           Sec   :      0.663  /     -1.000  /      0.980  /      0.000  /      0.000  /          0  /          0  /       1143  /          7  |       1724  |          0  |       1166
He4+                 :      0.534  /     -1.000  /      0.968  /      0.000  /      0.000  /          0  /          0  /       1869  /          6  |       3500  |          0  |       1931
He4+           Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He4+           Sec   :      0.534  /     -1.000  /      0.968  /      0.000  /      0.000  /          0  /          0  /       1869  /          6  |       3500  |          0  |       1931
He4-                 :      0.612  /     -1.000  /      0.981  /      0.000  /      0.000  /          0  /          0  /        976  /          7  |       1596  |          0  |        995
He4-           Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He4-           Sec   :      0.612  /     -1.000  /      0.981  /      0.000  /      0.000  /          0  /          0  /        976  /          7  |       1596  |          0  |        995
V0                   :      0.161  /     -1.000  /      0.551  /      0.003  /      0.000  /         63  /          0  /      22691  /       4636  |     141352  |          0  |      41214
V0             Prim  :      0.259  /     -1.000  /      0.558  /      0.000  /      0.000  /          0  /          0  /      12791  /       3018  |      49467  |          0  |      22906
V0             Sec   :      0.108  /     -1.000  /      0.541  /      0.000  /      0.000  /          0  /          0  /       9900  /       1618  |      91885  |          0  |      18308
